id,name,population,players
CHN,China,0,No Players
IND,India,0,No Players
USA,United States,0,No Players
IDN,Indonesia,0,No Players
BRA,Brazil,0,No Players
PAK,Pakistan,0,No Players
BGD,Bangladesh,0,No Players
NGA,Nigeria,0,No Players
RUS,Russia,0,No Players
JPN,Japan,0,No Players
MEX,Mexico,0,No Players
PHL,Philippines,0,No Players
VNM,Vietnam,0,No Players
ETH,Ethiopia,0,No Players
DEU,Germany,0,No Players
EGY,Egypt,0,No Players
TUR,Turkey,0,No Players
COD,"Congo, Democratic Republic of the",0,No Players
IRN,Iran,0,No Players
THA,Thailand,0,No Players
FRA,France,0,No Players
GBR,United Kingdom,0,No Players
ITA,Italy,0,No Players
MMR,Burma,0,No Players
ZAF,South Africa,0,No Players
KOR,"Korea, South",0,No Players
UKR,Ukraine,0,No Players
COL,Colombia,0,No Players
SDN,Sudan,0,No Players
TZA,Tanzania,0,No Players
ARG,Argentina,0,No Players
ESP,Spain,0,No Players
KEN,Kenya,0,No Players
POL,Poland,0,No Players
DZA,Algeria,0,No Players
CAN,Canada,0,No Players
UGA,Uganda,0,No Players
MAR,Morocco,0,No Players
PER,Peru,0,No Players
IRQ,Iraq,0,No Players
SAU,Saudi Arabia,0,No Players
AFG,Afghanistan,0,No Players
NPL,Nepal,0,No Players
UZB,Uzbekistan,0,No Players
VEN,Venezuela,0,No Players
MYS,Malaysia,0,No Players
GHA,Ghana,0,No Players
YEM,Yemen,0,No Players
TWN,Taiwan,0,No Players
PRK,"Korea, North",0,No Players
SYR,Syria,0,No Players
ROU,Romania,0,No Players
MOZ,Mozambique,0,No Players
AUS,Australia,0,No Players
LKA,Sri Lanka,0,No Players
MDG,Madagascar,0,No Players
CIV,Cote d'Ivoire,0,No Players
CMR,Cameroon,0,No Players
NLD,Netherlands,0,No Players
CHL,Chile,0,No Players
BFA,Burkina Faso,0,No Players
NER,Niger,0,No Players
KAZ,Kazakhstan,0,No Players
MWI,Malawi,0,No Players
ECU,Ecuador,0,No Players
KHM,Cambodia,0,No Players
SEN,Senegal,0,No Players
MLI,Mali,0,No Players
GTM,Guatemala,0,No Players
AGO,Angola,0,No Players
ZMB,Zambia,0,No Players
ZWE,Zimbabwe,0,No Players
CUB,Cuba,0,No Players
RWA,Rwanda,0,No Players
GRC,Greece,0,No Players
PRT,Portugal,0,No Players
TUN,Tunisia,0,No Players
TCD,Chad,0,No Players
BEL,Belgium,0,No Players
GIN,Guinea,0,No Players
CZE,Czech Republic,0,No Players
SOM,Somalia,0,No Players
BOL,Bolivia,0,No Players
HUN,Hungary,0,No Players
BDI,Burundi,0,No Players
